epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.8349,1.12775,3.31151,1.58244,0.34589,0.29916,0.23576,0.13846,1.53201,2.46807,1.88147,0.000235733,0.000235733,0.000235733
2,94.7174,1.11516,2.37603,1.52045,0.50836,0.35814,0.34215,0.21387,1.43099,2.35983,1.77243,0.000464353,0.000464353,0.000464353
3,153.347,1.08949,2.13254,1.48743,0.40098,0.40334,0.31069,0.17579,1.53346,2.50862,1.91018,0.000683549,0.000683549,0.000683549
4,215.257,1.07403,1.91519,1.47302,0.46368,0.42016,0.40277,0.258,1.44244,2.06625,1.79232,0.000671588,0.000671588,0.000671588
5,281.028,1.0352,1.75341,1.43627,0.43029,0.36536,0.33389,0.20525,1.42928,2.21569,1.75677,0.000657451,0.000657451,0.000657451
6,349.417,1.03749,1.65094,1.44026,0.43444,0.47071,0.48253,0.29784,1.41436,1.91022,1.7165,0.000643314,0.000643314,0.000643314
7,418.857,1.00006,1.52959,1.40189,0.52959,0.47445,0.48266,0.30826,1.41692,1.83337,1.66482,0.000629177,0.000629177,0.000629177
8,490.341,0.97257,1.44787,1.39655,0.50991,0.45354,0.46749,0.28591,1.47987,1.8968,1.74013,0.00061504,0.00061504,0.00061504
9,559.077,0.93579,1.3654,1.35648,0.64913,0.44836,0.49218,0.32715,1.31999,1.76187,1.58685,0.000600902,0.000600902,0.000600902
10,630.421,0.93975,1.32241,1.35155,0.54811,0.48499,0.51322,0.33643,1.32217,1.63091,1.60365,0.000586765,0.000586765,0.000586765
11,699.666,0.92377,1.26355,1.34357,0.5417,0.51661,0.49707,0.32489,1.33659,1.83099,1.63179,0.000572628,0.000572628,0.000572628
12,766.125,0.88497,1.23187,1.3236,0.65258,0.53891,0.54479,0.37354,1.31964,1.62441,1.62349,0.000558491,0.000558491,0.000558491
13,833.998,0.85969,1.14444,1.30735,0.71829,0.48568,0.58447,0.39441,1.30614,1.54499,1.62439,0.000544354,0.000544354,0.000544354
14,901.215,0.86599,1.10942,1.29897,0.66459,0.56797,0.59078,0.39198,1.30011,1.5403,1.61212,0.000530216,0.000530216,0.000530216
15,967.002,0.84252,1.0896,1.28656,0.68199,0.55757,0.58943,0.39559,1.28384,1.49443,1.5438,0.000516079,0.000516079,0.000516079
16,1036.02,0.83804,1.05787,1.27314,0.53367,0.43784,0.44987,0.28902,1.42405,2.05687,1.6593,0.000501942,0.000501942,0.000501942
17,1102.11,0.80744,1.02401,1.26072,0.68753,0.51662,0.58738,0.39775,1.24956,1.52301,1.58164,0.000487805,0.000487805,0.000487805
18,1169.55,0.81306,0.99934,1.25803,0.61721,0.52058,0.55709,0.38135,1.22958,1.52753,1.54886,0.000473668,0.000473668,0.000473668
19,1232.27,0.79907,0.97038,1.25373,0.61225,0.55348,0.56896,0.37563,1.29013,1.48779,1.58127,0.00045953,0.00045953,0.00045953
20,1290.15,0.78791,0.94913,1.23497,0.66056,0.55215,0.59374,0.40635,1.21483,1.45496,1.5302,0.000445393,0.000445393,0.000445393
21,1358.92,0.76877,0.91543,1.22391,0.64456,0.54934,0.58825,0.41572,1.22634,1.4168,1.52983,0.000431256,0.000431256,0.000431256
22,1430.33,0.77636,0.91613,1.22979,0.73022,0.53638,0.62249,0.42584,1.21143,1.36813,1.53161,0.000417119,0.000417119,0.000417119
23,1501.47,0.73972,0.85212,1.20454,0.70997,0.53842,0.61115,0.42643,1.17534,1.32242,1.51559,0.000402982,0.000402982,0.000402982
24,1571.84,0.72969,0.84536,1.19688,0.6596,0.56398,0.6093,0.43854,1.12067,1.3436,1.44767,0.000388844,0.000388844,0.000388844
25,1642.9,0.7253,0.82186,1.18887,0.71711,0.57445,0.63198,0.43438,1.19218,1.30687,1.54693,0.000374707,0.000374707,0.000374707
26,1715.59,0.72172,0.80296,1.18751,0.61897,0.53545,0.5741,0.41002,1.19188,1.38115,1.52409,0.00036057,0.00036057,0.00036057
27,1787.7,0.71424,0.81031,1.18308,0.71278,0.58493,0.62588,0.44855,1.11516,1.32171,1.45426,0.000346433,0.000346433,0.000346433
