epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1635,1.10421,3.43371,1.563,0.33682,0.26116,0.23748,0.13764,1.57641,2.63931,1.91071,0.000236049,0.000236049,0.000236049
2,81.9103,1.12562,2.35341,1.52546,0.47641,0.30299,0.33998,0.17418,1.62682,2.45248,1.9804,0.000464663,0.000464663,0.000464663
3,115.966,1.09552,2.11131,1.50369,0.44386,0.34836,0.2999,0.15892,1.63342,2.43722,1.94336,0.000683852,0.000683852,0.000683852
4,149.776,1.0767,1.95162,1.48356,0.47052,0.35383,0.3258,0.21696,1.42151,2.49827,1.79067,0.000671588,0.000671588,0.000671588
5,183.889,1.04754,1.76409,1.46181,0.55293,0.43128,0.45691,0.3015,1.39554,2.01128,1.71698,0.000657451,0.000657451,0.000657451
6,218.33,1.05134,1.68929,1.45728,0.47306,0.31466,0.31248,0.18215,1.49794,2.36604,1.83339,0.000643314,0.000643314,0.000643314
7,253.143,1.01312,1.54303,1.43094,0.64379,0.4452,0.47688,0.32671,1.35166,1.96096,1.68833,0.000629177,0.000629177,0.000629177
8,288.409,0.98513,1.46804,1.41578,0.61193,0.42761,0.48007,0.31918,1.3586,1.92402,1.69675,0.00061504,0.00061504,0.00061504
9,324.585,0.94024,1.38408,1.38401,0.68797,0.43155,0.48348,0.31777,1.34512,1.79122,1.68468,0.000600902,0.000600902,0.000600902
10,362.005,0.95775,1.33248,1.37798,0.5593,0.46458,0.49703,0.3396,1.31787,1.81823,1.67727,0.000586765,0.000586765,0.000586765
11,400.177,0.91848,1.26472,1.35084,0.60417,0.52594,0.5413,0.37852,1.30641,1.65895,1.63836,0.000572628,0.000572628,0.000572628
12,439.744,0.91334,1.2322,1.3499,0.61695,0.416,0.45857,0.29126,1.36315,1.76479,1.64926,0.000558491,0.000558491,0.000558491
13,479.122,0.89191,1.18088,1.33268,0.59337,0.46647,0.51379,0.3532,1.272,1.66715,1.57575,0.000544354,0.000544354,0.000544354
14,517.519,0.89218,1.1311,1.32564,0.63175,0.50088,0.51112,0.33339,1.31732,1.63042,1.63995,0.000530216,0.000530216,0.000530216
15,558.471,0.86916,1.11264,1.31637,0.56937,0.52546,0.51436,0.34886,1.27874,1.76267,1.56513,0.000516079,0.000516079,0.000516079
16,599.846,0.86277,1.07715,1.30641,0.62172,0.49293,0.54388,0.36327,1.25828,1.57984,1.57289,0.000501942,0.000501942,0.000501942
17,641.277,0.84561,1.0366,1.2839,0.66054,0.51246,0.5556,0.38338,1.26417,1.56809,1.59935,0.000487805,0.000487805,0.000487805
18,684.603,0.82072,0.99539,1.27042,0.67123,0.53261,0.57581,0.39964,1.2061,1.47453,1.49724,0.000473668,0.000473668,0.000473668
19,728.653,0.81231,0.98457,1.27194,0.76588,0.46616,0.56687,0.38907,1.23326,1.54083,1.55082,0.00045953,0.00045953,0.00045953
20,773.862,0.7977,0.93094,1.25139,0.62856,0.54685,0.57752,0.41538,1.20463,1.48659,1.53883,0.000445393,0.000445393,0.000445393
21,819.115,0.79456,0.90987,1.24962,0.73579,0.52077,0.59411,0.41271,1.2005,1.40727,1.4994,0.000431256,0.000431256,0.000431256
22,864.222,0.77248,0.89028,1.23578,0.65875,0.54932,0.59621,0.42898,1.17463,1.37296,1.52189,0.000417119,0.000417119,0.000417119
23,909.439,0.75426,0.85664,1.21953,0.78442,0.49611,0.58857,0.42564,1.17741,1.41383,1.50457,0.000402982,0.000402982,0.000402982
24,955.408,0.74796,0.84187,1.21663,0.77134,0.52347,0.60074,0.42699,1.19412,1.37297,1.52587,0.000388844,0.000388844,0.000388844
25,1000.65,0.75448,0.83333,1.21691,0.67965,0.51644,0.56693,0.4014,1.18037,1.46045,1.49219,0.000374707,0.000374707,0.000374707
26,1044.52,0.73514,0.80816,1.20031,0.70318,0.5319,0.59726,0.4301,1.12306,1.3187,1.46071,0.00036057,0.00036057,0.00036057
27,1088.31,0.71198,0.792,1.19342,0.68333,0.55864,0.58902,0.4161,1.13323,1.41719,1.45647,0.000346433,0.000346433,0.000346433
28,1133.4,0.70698,0.75389,1.18657,0.74381,0.52841,0.61248,0.4312,1.13709,1.2955,1.47763,0.000332296,0.000332296,0.000332296
29,1177.51,0.69968,0.74977,1.17541,0.76514,0.53842,0.60645,0.43608,1.13079,1.3286,1.47721,0.000318158,0.000318158,0.000318158
30,1221.48,0.68775,0.72488,1.16892,0.73084,0.57258,0.63659,0.45757,1.0948,1.22456,1.44094,0.000304021,0.000304021,0.000304021
31,1264.99,0.67898,0.71866,1.16255,0.64489,0.5864,0.59874,0.43103,1.12403,1.30807,1.44408,0.000289884,0.000289884,0.000289884
32,1307.5,0.67971,0.70206,1.15942,0.71457,0.58201,0.63602,0.45122,1.10306,1.19456,1.46133,0.000275747,0.000275747,0.000275747
33,1353.31,0.65763,0.67352,1.15718,0.71022,0.5476,0.61221,0.44275,1.08575,1.29666,1.42849,0.00026161,0.00026161,0.00026161
34,1399.84,0.64154,0.67284,1.13752,0.62481,0.60423,0.60314,0.44522,1.0914,1.29151,1.44553,0.000247472,0.000247472,0.000247472
35,1444.99,0.64597,0.65682,1.13669,0.74995,0.5781,0.64237,0.47154,1.07073,1.21795,1.42169,0.000233335,0.000233335,0.000233335
36,1492.47,0.61124,0.62516,1.11993,0.78054,0.5398,0.62858,0.45705,1.06895,1.24512,1.42313,0.000219198,0.000219198,0.000219198
37,1540.21,0.62662,0.63326,1.12692,0.77628,0.56057,0.63867,0.47383,1.04046,1.20505,1.41548,0.000205061,0.000205061,0.000205061
38,1586.34,0.59968,0.60887,1.11049,0.77974,0.54013,0.62847,0.45817,1.10804,1.25263,1.47156,0.000190924,0.000190924,0.000190924
39,1633.46,0.61698,0.60709,1.11904,0.75147,0.5943,0.65397,0.48919,1.02803,1.16424,1.40931,0.000176786,0.000176786,0.000176786
40,1682.44,0.60376,0.60104,1.11098,0.73851,0.58423,0.64093,0.47345,1.04453,1.1753,1.42386,0.000162649,0.000162649,0.000162649
41,1778.09,0.61003,0.50834,1.11152,0.7174,0.58892,0.62998,0.46774,1.0377,1.20499,1.42638,0.000148512,0.000148512,0.000148512
42,1822.41,0.57506,0.47365,1.08923,0.76598,0.59311,0.64865,0.48436,1.00884,1.15409,1.4252,0.000134375,0.000134375,0.000134375
43,1870.65,0.5536,0.44756,1.07629,0.76618,0.56974,0.62802,0.47508,1.00719,1.23643,1.40229,0.000120238,0.000120238,0.000120238
44,1919.71,0.53672,0.43334,1.05698,0.75828,0.57938,0.63712,0.4744,1.00324,1.18085,1.41869,0.0001061,0.0001061,0.0001061
45,1970.47,0.52071,0.41726,1.04353,0.81195,0.59689,0.6617,0.49466,1.00316,1.1731,1.4242,9.19632e-05,9.19632e-05,9.19632e-05
46,2021.03,0.50886,0.40108,1.03868,0.77768,0.59603,0.6634,0.49451,0.97585,1.17592,1.40578,7.7826e-05,7.7826e-05,7.7826e-05
47,2071.76,0.49277,0.38873,1.02992,0.84982,0.58776,0.66728,0.4961,0.99059,1.15557,1.41483,6.36888e-05,6.36888e-05,6.36888e-05
48,2119.56,0.48065,0.38257,1.02013,0.81206,0.59078,0.65813,0.49724,0.98082,1.17547,1.40692,4.95516e-05,4.95516e-05,4.95516e-05
49,2166.88,0.47692,0.37531,1.01871,0.80648,0.58262,0.65558,0.49311,0.98131,1.18593,1.41099,3.54144e-05,3.54144e-05,3.54144e-05
50,2214.42,0.46554,0.37053,1.00633,0.80942,0.58782,0.66355,0.49593,0.9617,1.17628,1.39972,2.12772e-05,2.12772e-05,2.12772e-05
